Campaign Name,Country,Ad Group Name,Action,Keyword ID,Keyword,Match Type,Status,Bid,Campaign ID,Ad Group ID,Notes
TIVZ_UA_SR_EXACT_W1,Ukraine,UA_CORE_EXACT,CREATE,,онлайн запис клієнтів,EXACT,ACTIVE,$0.25,,,Fill Campaign ID and Ad Group ID after manual Apple Ads campaign/ad group creation.
TIVZ_UA_SR_EXACT_W1,Ukraine,UA_CORE_EXACT,CREATE,,додаток для запису клієнтів,EXACT,ACTIVE,$0.25,,,Fill Campaign ID and Ad Group ID after manual Apple Ads campaign/ad group creation.
TIVZ_UA_SR_EXACT_W1,Ukraine,UA_CORE_EXACT,CREATE,,програма для запису клієнтів,EXACT,ACTIVE,$0.25,,,Fill Campaign ID and Ad Group ID after manual Apple Ads campaign/ad group creation.
TIVZ_UA_SR_EXACT_W1,Ukraine,UA_CORE_EXACT,CREATE,,запис клієнтів,EXACT,ACTIVE,$0.25,,,Fill Campaign ID and Ad Group ID after manual Apple Ads campaign/ad group creation.
TIVZ_UA_SR_EXACT_W1,Ukraine,UA_CORE_EXACT,CREATE,,календар записів клієнтів,EXACT,ACTIVE,$0.25,,,Fill Campaign ID and Ad Group ID after manual Apple Ads campaign/ad group creation.
TIVZ_UA_SR_EXACT_W1,Ukraine,UA_CORE_EXACT,CREATE,,календар клієнтів,EXACT,ACTIVE,$0.25,,,Fill Campaign ID and Ad Group ID after manual Apple Ads campaign/ad group creation.
TIVZ_UA_SR_EXACT_W1,Ukraine,UA_CORE_EXACT,CREATE,,розклад клієнтів,EXACT,ACTIVE,$0.25,,,Fill Campaign ID and Ad Group ID after manual Apple Ads campaign/ad group creation.
TIVZ_UA_SR_EXACT_W1,Ukraine,UA_CORE_EXACT,CREATE,,календар майстра,EXACT,ACTIVE,$0.25,,,Fill Campaign ID and Ad Group ID after manual Apple Ads campaign/ad group creation.
TIVZ_UA_SR_EXACT_W1,Ukraine,UA_CORE_EXACT,CREATE,,розклад майстра,EXACT,ACTIVE,$0.25,,,Fill Campaign ID and Ad Group ID after manual Apple Ads campaign/ad group creation.
TIVZ_UA_SR_EXACT_W1,Ukraine,UA_CORE_EXACT,CREATE,,запис для майстра,EXACT,ACTIVE,$0.25,,,Fill Campaign ID and Ad Group ID after manual Apple Ads campaign/ad group creation.
TIVZ_UA_SR_EXACT_W1,Ukraine,UA_CORE_EXACT,CREATE,,додаток для майстра,EXACT,ACTIVE,$0.25,,,Fill Campaign ID and Ad Group ID after manual Apple Ads campaign/ad group creation.
TIVZ_UA_SR_EXACT_W1,Ukraine,UA_CORE_EXACT,CREATE,,crm для майстра,EXACT,ACTIVE,$0.25,,,Fill Campaign ID and Ad Group ID after manual Apple Ads campaign/ad group creation.
TIVZ_UA_SR_EXACT_W1,Ukraine,UA_CORE_EXACT,CREATE,,crm салону краси,EXACT,ACTIVE,$0.25,,,Fill Campaign ID and Ad Group ID after manual Apple Ads campaign/ad group creation.
TIVZ_UA_SR_EXACT_W1,Ukraine,UA_CORE_EXACT,CREATE,,програма для салону краси,EXACT,ACTIVE,$0.25,,,Fill Campaign ID and Ad Group ID after manual Apple Ads campaign/ad group creation.
TIVZ_UA_SR_EXACT_W1,Ukraine,UA_CORE_EXACT,CREATE,,додаток для салону краси,EXACT,ACTIVE,$0.25,,,Fill Campaign ID and Ad Group ID after manual Apple Ads campaign/ad group creation.
TIVZ_UA_SR_EXACT_W1,Ukraine,UA_CORE_EXACT,CREATE,,онлайн запис для салону,EXACT,ACTIVE,$0.25,,,Fill Campaign ID and Ad Group ID after manual Apple Ads campaign/ad group creation.
TIVZ_UA_SR_EXACT_W1,Ukraine,UA_CORE_EXACT,CREATE,,онлайн запис для салону краси,EXACT,ACTIVE,$0.25,,,Fill Campaign ID and Ad Group ID after manual Apple Ads campaign/ad group creation.
TIVZ_UA_SR_EXACT_W1,Ukraine,UA_CORE_EXACT,CREATE,,облік клієнтів салон,EXACT,ACTIVE,$0.25,,,Fill Campaign ID and Ad Group ID after manual Apple Ads campaign/ad group creation.
TIVZ_UA_SR_EXACT_W1,Ukraine,UA_CORE_EXACT,CREATE,,облік клієнтів,EXACT,ACTIVE,$0.25,,,Fill Campaign ID and Ad Group ID after manual Apple Ads campaign/ad group creation.
TIVZ_UA_SR_EXACT_W1,Ukraine,UA_CORE_EXACT,CREATE,,база клієнтів,EXACT,ACTIVE,$0.25,,,Fill Campaign ID and Ad Group ID after manual Apple Ads campaign/ad group creation.
TIVZ_UA_SR_EXACT_W1,Ukraine,UA_CORE_EXACT,CREATE,,база клієнтів майстра,EXACT,ACTIVE,$0.25,,,Fill Campaign ID and Ad Group ID after manual Apple Ads campaign/ad group creation.
TIVZ_UA_SR_EXACT_W1,Ukraine,UA_CORE_EXACT,CREATE,,журнал запису клієнтів,EXACT,ACTIVE,$0.25,,,Fill Campaign ID and Ad Group ID after manual Apple Ads campaign/ad group creation.
TIVZ_UA_SR_EXACT_W1,Ukraine,UA_CORE_EXACT,CREATE,,електронний запис клієнтів,EXACT,ACTIVE,$0.25,,,Fill Campaign ID and Ad Group ID after manual Apple Ads campaign/ad group creation.
TIVZ_UA_SR_EXACT_W1,Ukraine,UA_CORE_EXACT,CREATE,,запис клієнтів онлайн,EXACT,ACTIVE,$0.25,,,Fill Campaign ID and Ad Group ID after manual Apple Ads campaign/ad group creation.
TIVZ_UA_SR_EXACT_W1,Ukraine,UA_CORE_EXACT,CREATE,,керування записами клієнтів,EXACT,ACTIVE,$0.25,,,Fill Campaign ID and Ad Group ID after manual Apple Ads campaign/ad group creation.
TIVZ_UA_SR_EXACT_W1,Ukraine,UA_CORE_EXACT,CREATE,,клієнти та записи,EXACT,ACTIVE,$0.25,,,Fill Campaign ID and Ad Group ID after manual Apple Ads campaign/ad group creation.
TIVZ_UA_SR_EXACT_W1,Ukraine,UA_CORE_EXACT,CREATE,,послуги та записи,EXACT,ACTIVE,$0.25,,,Fill Campaign ID and Ad Group ID after manual Apple Ads campaign/ad group creation.
TIVZ_UA_SR_EXACT_W1,Ukraine,UA_CORE_EXACT,CREATE,,розклад салону,EXACT,ACTIVE,$0.25,,,Fill Campaign ID and Ad Group ID after manual Apple Ads campaign/ad group creation.
TIVZ_UA_SR_EXACT_W1,Ukraine,UA_CORE_EXACT,CREATE,,календар салону краси,EXACT,ACTIVE,$0.25,,,Fill Campaign ID and Ad Group ID after manual Apple Ads campaign/ad group creation.
TIVZ_UA_SR_EXACT_W1,Ukraine,UA_CORE_EXACT,CREATE,,календар для бізнесу,EXACT,ACTIVE,$0.25,,,Fill Campaign ID and Ad Group ID after manual Apple Ads campaign/ad group creation.
TIVZ_UA_SR_EXACT_W1,Ukraine,UA_CORE_EXACT,CREATE,,додаток для послуг,EXACT,ACTIVE,$0.25,,,Fill Campaign ID and Ad Group ID after manual Apple Ads campaign/ad group creation.
TIVZ_UA_SR_EXACT_W1,Ukraine,UA_CORE_EXACT,CREATE,,програма для послуг,EXACT,ACTIVE,$0.25,,,Fill Campaign ID and Ad Group ID after manual Apple Ads campaign/ad group creation.
TIVZ_UA_SR_EXACT_W1,Ukraine,UA_CORE_EXACT,CREATE,,запис на послуги для бізнесу,EXACT,ACTIVE,$0.25,,,Fill Campaign ID and Ad Group ID after manual Apple Ads campaign/ad group creation.
TIVZ_UA_SR_EXACT_W1,Ukraine,UA_CORE_EXACT,CREATE,,автоматизація салону,EXACT,ACTIVE,$0.25,,,Fill Campaign ID and Ad Group ID after manual Apple Ads campaign/ad group creation.
TIVZ_UA_SR_EXACT_W1,Ukraine,UA_CORE_EXACT,CREATE,,система запису клієнтів,EXACT,ACTIVE,$0.25,,,Fill Campaign ID and Ad Group ID after manual Apple Ads campaign/ad group creation.
TIVZ_UA_SR_EXACT_W1,Ukraine,UA_CORE_EXACT,CREATE,,система бронювання клієнтів,EXACT,ACTIVE,$0.25,,,Fill Campaign ID and Ad Group ID after manual Apple Ads campaign/ad group creation.
TIVZ_UA_SR_EXACT_W1,Ukraine,UA_CORE_EXACT,CREATE,,бронювання клієнтів,EXACT,ACTIVE,$0.25,,,Fill Campaign ID and Ad Group ID after manual Apple Ads campaign/ad group creation.
TIVZ_UA_SR_EXACT_W1,Ukraine,UA_CORE_EXACT,CREATE,,додаток для бронювання клієнтів,EXACT,ACTIVE,$0.25,,,Fill Campaign ID and Ad Group ID after manual Apple Ads campaign/ad group creation.
TIVZ_UA_SR_EXACT_W1,Ukraine,UA_CORE_EXACT,CREATE,,програма бронювання клієнтів,EXACT,ACTIVE,$0.25,,,Fill Campaign ID and Ad Group ID after manual Apple Ads campaign/ad group creation.
TIVZ_UA_SR_EXACT_W1,Ukraine,UA_PROFESSIONS_EXACT,CREATE,,додаток для майстра манікюру,EXACT,ACTIVE,$0.20,,,Fill Campaign ID and Ad Group ID after manual Apple Ads campaign/ad group creation.
TIVZ_UA_SR_EXACT_W1,Ukraine,UA_PROFESSIONS_EXACT,CREATE,,запис клієнтів манікюр,EXACT,ACTIVE,$0.20,,,Fill Campaign ID and Ad Group ID after manual Apple Ads campaign/ad group creation.
TIVZ_UA_SR_EXACT_W1,Ukraine,UA_PROFESSIONS_EXACT,CREATE,,календар майстра манікюру,EXACT,ACTIVE,$0.20,,,Fill Campaign ID and Ad Group ID after manual Apple Ads campaign/ad group creation.
TIVZ_UA_SR_EXACT_W1,Ukraine,UA_PROFESSIONS_EXACT,CREATE,,програма для майстра манікюру,EXACT,ACTIVE,$0.20,,,Fill Campaign ID and Ad Group ID after manual Apple Ads campaign/ad group creation.
TIVZ_UA_SR_EXACT_W1,Ukraine,UA_PROFESSIONS_EXACT,CREATE,,crm для майстра манікюру,EXACT,ACTIVE,$0.20,,,Fill Campaign ID and Ad Group ID after manual Apple Ads campaign/ad group creation.
TIVZ_UA_SR_EXACT_W1,Ukraine,UA_PROFESSIONS_EXACT,CREATE,,додаток для перукаря,EXACT,ACTIVE,$0.20,,,Fill Campaign ID and Ad Group ID after manual Apple Ads campaign/ad group creation.
TIVZ_UA_SR_EXACT_W1,Ukraine,UA_PROFESSIONS_EXACT,CREATE,,календар перукаря,EXACT,ACTIVE,$0.20,,,Fill Campaign ID and Ad Group ID after manual Apple Ads campaign/ad group creation.
TIVZ_UA_SR_EXACT_W1,Ukraine,UA_PROFESSIONS_EXACT,CREATE,,запис клієнтів перукар,EXACT,ACTIVE,$0.20,,,Fill Campaign ID and Ad Group ID after manual Apple Ads campaign/ad group creation.
TIVZ_UA_SR_EXACT_W1,Ukraine,UA_PROFESSIONS_EXACT,CREATE,,програма для перукаря,EXACT,ACTIVE,$0.20,,,Fill Campaign ID and Ad Group ID after manual Apple Ads campaign/ad group creation.
TIVZ_UA_SR_EXACT_W1,Ukraine,UA_PROFESSIONS_EXACT,CREATE,,додаток для барбера,EXACT,ACTIVE,$0.20,,,Fill Campaign ID and Ad Group ID after manual Apple Ads campaign/ad group creation.
TIVZ_UA_SR_EXACT_W1,Ukraine,UA_PROFESSIONS_EXACT,CREATE,,календар барбера,EXACT,ACTIVE,$0.20,,,Fill Campaign ID and Ad Group ID after manual Apple Ads campaign/ad group creation.
TIVZ_UA_SR_EXACT_W1,Ukraine,UA_PROFESSIONS_EXACT,CREATE,,запис клієнтів барбер,EXACT,ACTIVE,$0.20,,,Fill Campaign ID and Ad Group ID after manual Apple Ads campaign/ad group creation.
TIVZ_UA_SR_EXACT_W1,Ukraine,UA_PROFESSIONS_EXACT,CREATE,,програма для барбера,EXACT,ACTIVE,$0.20,,,Fill Campaign ID and Ad Group ID after manual Apple Ads campaign/ad group creation.
TIVZ_UA_SR_EXACT_W1,Ukraine,UA_PROFESSIONS_EXACT,CREATE,,додаток для косметолога,EXACT,ACTIVE,$0.20,,,Fill Campaign ID and Ad Group ID after manual Apple Ads campaign/ad group creation.
TIVZ_UA_SR_EXACT_W1,Ukraine,UA_PROFESSIONS_EXACT,CREATE,,календар косметолога,EXACT,ACTIVE,$0.20,,,Fill Campaign ID and Ad Group ID after manual Apple Ads campaign/ad group creation.
TIVZ_UA_SR_EXACT_W1,Ukraine,UA_PROFESSIONS_EXACT,CREATE,,запис клієнтів косметолог,EXACT,ACTIVE,$0.20,,,Fill Campaign ID and Ad Group ID after manual Apple Ads campaign/ad group creation.
TIVZ_UA_SR_EXACT_W1,Ukraine,UA_PROFESSIONS_EXACT,CREATE,,програма для косметолога,EXACT,ACTIVE,$0.20,,,Fill Campaign ID and Ad Group ID after manual Apple Ads campaign/ad group creation.
TIVZ_UA_SR_EXACT_W1,Ukraine,UA_PROFESSIONS_EXACT,CREATE,,додаток для масажиста,EXACT,ACTIVE,$0.20,,,Fill Campaign ID and Ad Group ID after manual Apple Ads campaign/ad group creation.
TIVZ_UA_SR_EXACT_W1,Ukraine,UA_PROFESSIONS_EXACT,CREATE,,календар масажиста,EXACT,ACTIVE,$0.20,,,Fill Campaign ID and Ad Group ID after manual Apple Ads campaign/ad group creation.
