Action,Keyword ID,Keyword,Match Type,Status,Bid,Campaign ID,Ad Group ID
CREATE,,онлайн запись клиентов,EXACT,ACTIVE,$0.20,,
CREATE,,приложение для записи клиентов,EXACT,ACTIVE,$0.20,,
CREATE,,программа для записи клиентов,EXACT,ACTIVE,$0.20,,
CREATE,,запись клиентов,EXACT,ACTIVE,$0.20,,
CREATE,,календарь записи клиентов,EXACT,ACTIVE,$0.20,,
CREATE,,календарь клиентов,EXACT,ACTIVE,$0.20,,
CREATE,,расписание клиентов,EXACT,ACTIVE,$0.20,,
CREATE,,календарь мастера,EXACT,ACTIVE,$0.20,,
CREATE,,расписание мастера,EXACT,ACTIVE,$0.20,,
CREATE,,запись для мастера,EXACT,ACTIVE,$0.20,,
CREATE,,приложение для мастера,EXACT,ACTIVE,$0.20,,
CREATE,,crm для мастера,EXACT,ACTIVE,$0.20,,
CREATE,,crm салона красоты,EXACT,ACTIVE,$0.20,,
CREATE,,программа для салона красоты,EXACT,ACTIVE,$0.20,,
CREATE,,приложение для салона красоты,EXACT,ACTIVE,$0.20,,
CREATE,,онлайн запись для салона,EXACT,ACTIVE,$0.20,,
CREATE,,онлайн запись для салона красоты,EXACT,ACTIVE,$0.20,,
CREATE,,учет клиентов салон,EXACT,ACTIVE,$0.20,,
CREATE,,учет клиентов,EXACT,ACTIVE,$0.20,,
CREATE,,база клиентов,EXACT,ACTIVE,$0.20,,
CREATE,,база клиентов мастера,EXACT,ACTIVE,$0.20,,
CREATE,,журнал записи клиентов,EXACT,ACTIVE,$0.20,,
CREATE,,электронная запись клиентов,EXACT,ACTIVE,$0.20,,
CREATE,,запись клиентов онлайн,EXACT,ACTIVE,$0.20,,
CREATE,,управление записью клиентов,EXACT,ACTIVE,$0.20,,
CREATE,,клиенты и записи,EXACT,ACTIVE,$0.20,,
CREATE,,услуги и записи,EXACT,ACTIVE,$0.20,,
CREATE,,расписание салона,EXACT,ACTIVE,$0.20,,
CREATE,,календарь салона красоты,EXACT,ACTIVE,$0.20,,
CREATE,,календарь для бизнеса,EXACT,ACTIVE,$0.20,,
CREATE,,приложение для услуг,EXACT,ACTIVE,$0.20,,
CREATE,,программа для услуг,EXACT,ACTIVE,$0.20,,
CREATE,,запись на услуги для бизнеса,EXACT,ACTIVE,$0.20,,
CREATE,,автоматизация салона,EXACT,ACTIVE,$0.20,,
CREATE,,система записи клиентов,EXACT,ACTIVE,$0.20,,
CREATE,,система бронирования клиентов,EXACT,ACTIVE,$0.20,,
CREATE,,бронирование клиентов,EXACT,ACTIVE,$0.20,,
CREATE,,приложение для бронирования клиентов,EXACT,ACTIVE,$0.20,,
CREATE,,программа бронирования клиентов,EXACT,ACTIVE,$0.20,,
CREATE,,приложение для мастера маникюра,EXACT,ACTIVE,$0.18,,
CREATE,,запись клиентов маникюр,EXACT,ACTIVE,$0.18,,
CREATE,,календарь мастера маникюра,EXACT,ACTIVE,$0.18,,
CREATE,,программа для мастера маникюра,EXACT,ACTIVE,$0.18,,
CREATE,,crm для мастера маникюра,EXACT,ACTIVE,$0.18,,
CREATE,,приложение для парикмахера,EXACT,ACTIVE,$0.18,,
CREATE,,календарь парикмахера,EXACT,ACTIVE,$0.18,,
CREATE,,запись клиентов парикмахер,EXACT,ACTIVE,$0.18,,
CREATE,,программа для парикмахера,EXACT,ACTIVE,$0.18,,
CREATE,,приложение для барбера,EXACT,ACTIVE,$0.18,,
CREATE,,календарь барбера,EXACT,ACTIVE,$0.18,,
CREATE,,запись клиентов барбер,EXACT,ACTIVE,$0.18,,
CREATE,,программа для барбера,EXACT,ACTIVE,$0.18,,
CREATE,,приложение для косметолога,EXACT,ACTIVE,$0.18,,
CREATE,,календарь косметолога,EXACT,ACTIVE,$0.18,,
CREATE,,запись клиентов косметолог,EXACT,ACTIVE,$0.18,,
CREATE,,программа для косметолога,EXACT,ACTIVE,$0.18,,
CREATE,,приложение для массажиста,EXACT,ACTIVE,$0.18,,
CREATE,,календарь массажиста,EXACT,ACTIVE,$0.18,,
CREATE,,запись клиентов массажист,EXACT,ACTIVE,$0.18,,
CREATE,,программа для массажиста,EXACT,ACTIVE,$0.18,,
CREATE,,приложение для бровиста,EXACT,ACTIVE,$0.18,,
CREATE,,календарь бровиста,EXACT,ACTIVE,$0.18,,
CREATE,,запись клиентов бровист,EXACT,ACTIVE,$0.18,,
CREATE,,приложение для лешмейкера,EXACT,ACTIVE,$0.18,,
CREATE,,календарь лешмейкера,EXACT,ACTIVE,$0.18,,
CREATE,,запись клиентов лешмейкер,EXACT,ACTIVE,$0.18,,
CREATE,,приложение для мастера депиляции,EXACT,ACTIVE,$0.18,,
