Action,Keyword ID,Keyword,Match Type,Status,Bid,Campaign ID,Ad Group ID
CREATE,,aplikacja do umawiania wizyt,EXACT,ACTIVE,$0.30,,
CREATE,,aplikacja do rezerwacji wizyt,EXACT,ACTIVE,$0.30,,
CREATE,,program do umawiania wizyt,EXACT,ACTIVE,$0.30,,
CREATE,,program do rezerwacji wizyt,EXACT,ACTIVE,$0.30,,
CREATE,,system rezerwacji wizyt,EXACT,ACTIVE,$0.30,,
CREATE,,system umawiania wizyt,EXACT,ACTIVE,$0.30,,
CREATE,,kalendarz wizyt,EXACT,ACTIVE,$0.30,,
CREATE,,kalendarz rezerwacji,EXACT,ACTIVE,$0.30,,
CREATE,,kalendarz dla klientów,EXACT,ACTIVE,$0.30,,
CREATE,,terminarz wizyt,EXACT,ACTIVE,$0.30,,
CREATE,,harmonogram wizyt,EXACT,ACTIVE,$0.30,,
CREATE,,grafik wizyt,EXACT,ACTIVE,$0.30,,
CREATE,,rezerwacja klientów,EXACT,ACTIVE,$0.30,,
CREATE,,zapisy klientów,EXACT,ACTIVE,$0.30,,
CREATE,,aplikacja do zapisów klientów,EXACT,ACTIVE,$0.30,,
CREATE,,program do zapisów klientów,EXACT,ACTIVE,$0.30,,
CREATE,,zarządzanie wizytami,EXACT,ACTIVE,$0.30,,
CREATE,,zarządzanie klientami,EXACT,ACTIVE,$0.30,,
CREATE,,baza klientów,EXACT,ACTIVE,$0.30,,
CREATE,,crm dla salonu,EXACT,ACTIVE,$0.30,,
CREATE,,crm dla salonu kosmetycznego,EXACT,ACTIVE,$0.30,,
CREATE,,program dla salonu kosmetycznego,EXACT,ACTIVE,$0.30,,
CREATE,,aplikacja dla salonu kosmetycznego,EXACT,ACTIVE,$0.30,,
CREATE,,system rezerwacji dla salonu,EXACT,ACTIVE,$0.30,,
CREATE,,rezerwacje online dla salonu,EXACT,ACTIVE,$0.30,,
CREATE,,kalendarz salonu,EXACT,ACTIVE,$0.30,,
CREATE,,grafik salonu,EXACT,ACTIVE,$0.30,,
CREATE,,terminarz salonu,EXACT,ACTIVE,$0.30,,
CREATE,,usługi i wizyty,EXACT,ACTIVE,$0.30,,
CREATE,,cennik i wizyty,EXACT,ACTIVE,$0.30,,
CREATE,,system umawiania klientów,EXACT,ACTIVE,$0.30,,
CREATE,,kalendarz pracy,EXACT,ACTIVE,$0.30,,
CREATE,,aplikacja dla usług,EXACT,ACTIVE,$0.30,,
CREATE,,program dla usług,EXACT,ACTIVE,$0.30,,
CREATE,,automatyzacja salonu,EXACT,ACTIVE,$0.30,,
CREATE,,system zapisów klientów,EXACT,ACTIVE,$0.30,,
CREATE,,aplikacja do obsługi klientów,EXACT,ACTIVE,$0.30,,
CREATE,,program do obsługi klientów,EXACT,ACTIVE,$0.30,,
CREATE,,kalendarz dla biznesu,EXACT,ACTIVE,$0.30,,
CREATE,,rezerwacje klientów online,EXACT,ACTIVE,$0.30,,
CREATE,,aplikacja dla stylistki paznokci,EXACT,ACTIVE,$0.25,,
CREATE,,kalendarz stylistki paznokci,EXACT,ACTIVE,$0.25,,
CREATE,,zapisy klientek paznokcie,EXACT,ACTIVE,$0.25,,
CREATE,,program dla stylistki paznokci,EXACT,ACTIVE,$0.25,,
CREATE,,crm dla stylistki paznokci,EXACT,ACTIVE,$0.25,,
CREATE,,aplikacja dla kosmetyczki,EXACT,ACTIVE,$0.25,,
CREATE,,kalendarz kosmetyczki,EXACT,ACTIVE,$0.25,,
CREATE,,zapisy klientów kosmetyczka,EXACT,ACTIVE,$0.25,,
