Action,Keyword ID,Keyword,Match Type,Status,Bid,Campaign ID,Ad Group ID
CREATE,,онлайн запис клієнтів,EXACT,ACTIVE,$0.25,,
CREATE,,додаток для запису клієнтів,EXACT,ACTIVE,$0.25,,
CREATE,,програма для запису клієнтів,EXACT,ACTIVE,$0.25,,
CREATE,,запис клієнтів,EXACT,ACTIVE,$0.25,,
CREATE,,календар записів клієнтів,EXACT,ACTIVE,$0.25,,
CREATE,,календар клієнтів,EXACT,ACTIVE,$0.25,,
CREATE,,розклад клієнтів,EXACT,ACTIVE,$0.25,,
CREATE,,календар майстра,EXACT,ACTIVE,$0.25,,
CREATE,,розклад майстра,EXACT,ACTIVE,$0.25,,
CREATE,,запис для майстра,EXACT,ACTIVE,$0.25,,
CREATE,,додаток для майстра,EXACT,ACTIVE,$0.25,,
CREATE,,crm для майстра,EXACT,ACTIVE,$0.25,,
CREATE,,crm салону краси,EXACT,ACTIVE,$0.25,,
CREATE,,програма для салону краси,EXACT,ACTIVE,$0.25,,
CREATE,,додаток для салону краси,EXACT,ACTIVE,$0.25,,
CREATE,,онлайн запис для салону,EXACT,ACTIVE,$0.25,,
CREATE,,онлайн запис для салону краси,EXACT,ACTIVE,$0.25,,
CREATE,,облік клієнтів салон,EXACT,ACTIVE,$0.25,,
CREATE,,облік клієнтів,EXACT,ACTIVE,$0.25,,
CREATE,,база клієнтів,EXACT,ACTIVE,$0.25,,
CREATE,,база клієнтів майстра,EXACT,ACTIVE,$0.25,,
CREATE,,журнал запису клієнтів,EXACT,ACTIVE,$0.25,,
CREATE,,електронний запис клієнтів,EXACT,ACTIVE,$0.25,,
CREATE,,запис клієнтів онлайн,EXACT,ACTIVE,$0.25,,
CREATE,,керування записами клієнтів,EXACT,ACTIVE,$0.25,,
CREATE,,клієнти та записи,EXACT,ACTIVE,$0.25,,
CREATE,,послуги та записи,EXACT,ACTIVE,$0.25,,
CREATE,,розклад салону,EXACT,ACTIVE,$0.25,,
CREATE,,календар салону краси,EXACT,ACTIVE,$0.25,,
CREATE,,календар для бізнесу,EXACT,ACTIVE,$0.25,,
CREATE,,додаток для послуг,EXACT,ACTIVE,$0.25,,
CREATE,,програма для послуг,EXACT,ACTIVE,$0.25,,
CREATE,,запис на послуги для бізнесу,EXACT,ACTIVE,$0.25,,
CREATE,,автоматизація салону,EXACT,ACTIVE,$0.25,,
CREATE,,система запису клієнтів,EXACT,ACTIVE,$0.25,,
CREATE,,система бронювання клієнтів,EXACT,ACTIVE,$0.25,,
CREATE,,бронювання клієнтів,EXACT,ACTIVE,$0.25,,
CREATE,,додаток для бронювання клієнтів,EXACT,ACTIVE,$0.25,,
CREATE,,програма бронювання клієнтів,EXACT,ACTIVE,$0.25,,
CREATE,,додаток для майстра манікюру,EXACT,ACTIVE,$0.20,,
CREATE,,запис клієнтів манікюр,EXACT,ACTIVE,$0.20,,
CREATE,,календар майстра манікюру,EXACT,ACTIVE,$0.20,,
CREATE,,програма для майстра манікюру,EXACT,ACTIVE,$0.20,,
CREATE,,crm для майстра манікюру,EXACT,ACTIVE,$0.20,,
CREATE,,додаток для перукаря,EXACT,ACTIVE,$0.20,,
CREATE,,календар перукаря,EXACT,ACTIVE,$0.20,,
CREATE,,запис клієнтів перукар,EXACT,ACTIVE,$0.20,,
CREATE,,програма для перукаря,EXACT,ACTIVE,$0.20,,
CREATE,,додаток для барбера,EXACT,ACTIVE,$0.20,,
CREATE,,календар барбера,EXACT,ACTIVE,$0.20,,
CREATE,,запис клієнтів барбер,EXACT,ACTIVE,$0.20,,
CREATE,,програма для барбера,EXACT,ACTIVE,$0.20,,
CREATE,,додаток для косметолога,EXACT,ACTIVE,$0.20,,
CREATE,,календар косметолога,EXACT,ACTIVE,$0.20,,
CREATE,,запис клієнтів косметолог,EXACT,ACTIVE,$0.20,,
CREATE,,програма для косметолога,EXACT,ACTIVE,$0.20,,
CREATE,,додаток для масажиста,EXACT,ACTIVE,$0.20,,
CREATE,,календар масажиста,EXACT,ACTIVE,$0.20,,
CREATE,,запис клієнтів масажист,EXACT,ACTIVE,$0.20,,
CREATE,,програма для масажиста,EXACT,ACTIVE,$0.20,,
CREATE,,додаток для бровіста,EXACT,ACTIVE,$0.20,,
