Action,Negative Keyword ID,Negative Keyword,Match Type,Status,Campaign ID,Ad Group ID
CREATE,,teamviewer,EXACT,ACTIVE,,
CREATE,,team viewer,EXACT,ACTIVE,,
CREATE,,teamviewer remote,EXACT,ACTIVE,,
CREATE,,anydesk,EXACT,ACTIVE,,
CREATE,,remote desktop,EXACT,ACTIVE,,
CREATE,,time tracker,EXACT,ACTIVE,,
CREATE,,time tracking,EXACT,ACTIVE,,
CREATE,,timesheet,EXACT,ACTIVE,,
CREATE,,time clock,EXACT,ACTIVE,,
CREATE,,pomodoro,EXACT,ACTIVE,,
CREATE,,stopwatch,EXACT,ACTIVE,,
CREATE,,timer,EXACT,ACTIVE,,
CREATE,,todo,EXACT,ACTIVE,,
CREATE,,to do,EXACT,ACTIVE,,
CREATE,,to do list,EXACT,ACTIVE,,
CREATE,,notes,EXACT,ACTIVE,,
CREATE,,notion,EXACT,ACTIVE,,
CREATE,,google calendar,EXACT,ACTIVE,,
CREATE,,outlook calendar,EXACT,ACTIVE,,
CREATE,,calendar google,EXACT,ACTIVE,,
CREATE,,game,EXACT,ACTIVE,,
CREATE,,games,EXACT,ACTIVE,,
CREATE,,photo,EXACT,ACTIVE,,
CREATE,,video,EXACT,ACTIVE,,
CREATE,,dating,EXACT,ACTIVE,,
CREATE,,jobs,EXACT,ACTIVE,,
CREATE,,job,EXACT,ACTIVE,,
CREATE,,vacancy,EXACT,ACTIVE,,
CREATE,,course,EXACT,ACTIVE,,
CREATE,,training,EXACT,ACTIVE,,
CREATE,,template,EXACT,ACTIVE,,
CREATE,,excel,EXACT,ACTIVE,,
CREATE,,spreadsheet,EXACT,ACTIVE,,
CREATE,,free download,EXACT,ACTIVE,,
CREATE,,download free,EXACT,ACTIVE,,
CREATE,,teamviewer,EXACT,ACTIVE,,
CREATE,,team viewer,EXACT,ACTIVE,,
CREATE,,teamviewer remote,EXACT,ACTIVE,,
CREATE,,anydesk,EXACT,ACTIVE,,
CREATE,,remote desktop,EXACT,ACTIVE,,
CREATE,,time tracker,EXACT,ACTIVE,,
CREATE,,time tracking,EXACT,ACTIVE,,
CREATE,,timesheet,EXACT,ACTIVE,,
CREATE,,time clock,EXACT,ACTIVE,,
CREATE,,pomodoro,EXACT,ACTIVE,,
CREATE,,stopwatch,EXACT,ACTIVE,,
CREATE,,timer,EXACT,ACTIVE,,
CREATE,,todo,EXACT,ACTIVE,,
CREATE,,to do,EXACT,ACTIVE,,
CREATE,,to do list,EXACT,ACTIVE,,
CREATE,,notes,EXACT,ACTIVE,,
CREATE,,notion,EXACT,ACTIVE,,
CREATE,,google calendar,EXACT,ACTIVE,,
CREATE,,outlook calendar,EXACT,ACTIVE,,
CREATE,,calendar google,EXACT,ACTIVE,,
CREATE,,game,EXACT,ACTIVE,,
CREATE,,games,EXACT,ACTIVE,,
CREATE,,photo,EXACT,ACTIVE,,
CREATE,,video,EXACT,ACTIVE,,
CREATE,,dating,EXACT,ACTIVE,,
CREATE,,jobs,EXACT,ACTIVE,,
CREATE,,job,EXACT,ACTIVE,,
CREATE,,vacancy,EXACT,ACTIVE,,
CREATE,,course,EXACT,ACTIVE,,
CREATE,,training,EXACT,ACTIVE,,
CREATE,,template,EXACT,ACTIVE,,
CREATE,,excel,EXACT,ACTIVE,,
CREATE,,spreadsheet,EXACT,ACTIVE,,
CREATE,,free download,EXACT,ACTIVE,,
CREATE,,download free,EXACT,ACTIVE,,
CREATE,,teamviewer,EXACT,ACTIVE,,
CREATE,,team viewer,EXACT,ACTIVE,,
CREATE,,teamviewer remote,EXACT,ACTIVE,,
CREATE,,anydesk,EXACT,ACTIVE,,
CREATE,,remote desktop,EXACT,ACTIVE,,
CREATE,,time tracker,EXACT,ACTIVE,,
CREATE,,time tracking,EXACT,ACTIVE,,
CREATE,,timesheet,EXACT,ACTIVE,,
CREATE,,time clock,EXACT,ACTIVE,,
CREATE,,pomodoro,EXACT,ACTIVE,,
CREATE,,stopwatch,EXACT,ACTIVE,,
CREATE,,timer,EXACT,ACTIVE,,
CREATE,,todo,EXACT,ACTIVE,,
CREATE,,to do,EXACT,ACTIVE,,
CREATE,,to do list,EXACT,ACTIVE,,
CREATE,,notes,EXACT,ACTIVE,,
CREATE,,notion,EXACT,ACTIVE,,
CREATE,,google calendar,EXACT,ACTIVE,,
CREATE,,outlook calendar,EXACT,ACTIVE,,
CREATE,,calendar google,EXACT,ACTIVE,,
CREATE,,game,EXACT,ACTIVE,,
CREATE,,games,EXACT,ACTIVE,,
CREATE,,photo,EXACT,ACTIVE,,
CREATE,,video,EXACT,ACTIVE,,
CREATE,,dating,EXACT,ACTIVE,,
CREATE,,jobs,EXACT,ACTIVE,,
CREATE,,job,EXACT,ACTIVE,,
CREATE,,vacancy,EXACT,ACTIVE,,
CREATE,,course,EXACT,ACTIVE,,
CREATE,,training,EXACT,ACTIVE,,
CREATE,,template,EXACT,ACTIVE,,
CREATE,,excel,EXACT,ACTIVE,,
CREATE,,spreadsheet,EXACT,ACTIVE,,
CREATE,,free download,EXACT,ACTIVE,,
CREATE,,download free,EXACT,ACTIVE,,
