Action,Negative Keyword ID,Negative Keyword,Match Type,Status,Campaign ID,Ad Group ID
CREATE,,teamviewer,EXACT,ACTIVE,,
CREATE,,anydesk,EXACT,ACTIVE,,
CREATE,,zdalny pulpit,EXACT,ACTIVE,,
CREATE,,timer,EXACT,ACTIVE,,
CREATE,,stoper,EXACT,ACTIVE,,
CREATE,,pomodoro,EXACT,ACTIVE,,
CREATE,,śledzenie czasu,EXACT,ACTIVE,,
CREATE,,lista zadań,EXACT,ACTIVE,,
CREATE,,notatki,EXACT,ACTIVE,,
CREATE,,notion,EXACT,ACTIVE,,
CREATE,,google calendar,EXACT,ACTIVE,,
CREATE,,kalendarz google,EXACT,ACTIVE,,
CREATE,,gry,EXACT,ACTIVE,,
CREATE,,gra,EXACT,ACTIVE,,
CREATE,,zdjęcia,EXACT,ACTIVE,,
CREATE,,wideo,EXACT,ACTIVE,,
CREATE,,randki,EXACT,ACTIVE,,
CREATE,,praca,EXACT,ACTIVE,,
CREATE,,oferty pracy,EXACT,ACTIVE,,
CREATE,,kurs,EXACT,ACTIVE,,
CREATE,,kursy,EXACT,ACTIVE,,
CREATE,,szkolenie,EXACT,ACTIVE,,
CREATE,,szkolenia,EXACT,ACTIVE,,
CREATE,,szablon,EXACT,ACTIVE,,
CREATE,,excel,EXACT,ACTIVE,,
CREATE,,arkusz,EXACT,ACTIVE,,
CREATE,,pobierz za darmo,EXACT,ACTIVE,,
CREATE,,darmowe,EXACT,ACTIVE,,
CREATE,,salon blisko mnie,EXACT,ACTIVE,,
CREATE,,fryzjer blisko mnie,EXACT,ACTIVE,,
CREATE,,barber blisko mnie,EXACT,ACTIVE,,
CREATE,,manicure blisko mnie,EXACT,ACTIVE,,
CREATE,,kosmetyczka blisko mnie,EXACT,ACTIVE,,
CREATE,,masaż blisko mnie,EXACT,ACTIVE,,
CREATE,,umów wizytę u fryzjera,EXACT,ACTIVE,,
CREATE,,umów wizytę na manicure,EXACT,ACTIVE,,
CREATE,,umów wizytę u barbera,EXACT,ACTIVE,,
CREATE,,umów wizytę u kosmetyczki,EXACT,ACTIVE,,
CREATE,,cena manicure,EXACT,ACTIVE,,
CREATE,,cennik fryzjer,EXACT,ACTIVE,,
CREATE,,cennik salonu,EXACT,ACTIVE,,
CREATE,,adres salonu,EXACT,ACTIVE,,
CREATE,,opinie salon,EXACT,ACTIVE,,
CREATE,,najlepszy salon,EXACT,ACTIVE,,
CREATE,,fryzjer blisko mnie,BROAD,ACTIVE,,
CREATE,,barber blisko mnie,BROAD,ACTIVE,,
CREATE,,manicure blisko mnie,BROAD,ACTIVE,,
CREATE,,kosmetyczka blisko mnie,BROAD,ACTIVE,,
CREATE,,masaż blisko mnie,BROAD,ACTIVE,,
CREATE,,umów wizytę,BROAD,ACTIVE,,
CREATE,,cena manicure,BROAD,ACTIVE,,
CREATE,,cennik salonu,BROAD,ACTIVE,,
CREATE,,adres salonu,BROAD,ACTIVE,,
CREATE,,opinie salon,BROAD,ACTIVE,,
